Paragraph ID	Paragraph Text	Classified Anchors
9e6c0127-5a4d-452c-8657-21eeb9f1f182	In unserem Hotel in ___ ist eine Stelle im Frühstücksservice neu zu besetzen. Das Aufgabengebiet umfasst die Vorbereitung und Aufbau des Frühstücksbüfetts, -service und die Gästebetreuung. Wir suchen eine_n Bewerber_in mit abgeschlossener Berufsausbildung als Restaurant- oder Hotelfachmann_-frau. Es handelt sich um eine Teilzeitbeschäftigung von 7.30-12.30.	-service
		Aufgabengebiet
		Vorbereitung
		Teilzeitbeschäftigung
		Hotelfachmann_-frau
		Bewerber_in
		Berufsausbildung
		Aufbau
		Stelle
		Frühstücksservice
		Frühstücksbüfetts
		Hotel
		Gästebetreuung
		
41a7f21b-3c6b-41d2-a5bb-8e95bb751a0e	Aufgaben: [*] Branchenanalysen, Identifizieren von Markttrends und Kundenbedürfnissen sowie Erstellung von Marktstudien zum relevanten Markt [*] Mitarbeit bei der Konzeption und Umsetzung eines geeigneten branchenspezifischen Marktauftritts zur Positionierung ___ als ¿Globaler & Multimodaler Logistikpartner für die Chemieindustrie¿ [*] Mitarbeit bei der Planung, Durchführung und Erfolgskontrolle von internen und externen Kommunikationsmaßnahmen und Events, inkl. dazugehörigem Budgetprozess [*] Mitarbeit bei der Konzeption und Umsetzung globaler und multimodaler Logistikleistungen für die Chemieindustrie [*] Unterstützung der Vertriebseinheiten bei der Implementierung und Vermarktung der entwickelten geschäftsfeldübergreifenden Logistikleistungen [*] Unterstützung der Vertriebseinheiten der Geschäftsfelder bei der Identifikation und Realisierung von Sales-Potenzialen, inkl. der Analyse und Beobachtung des Marktauftritts des Wettbewerbs Qualifikationen_Anforderungen: [*] Abgeschlossenes Hochschulstudium ¿ Fachrichtung Betriebswirtschaft mit erster Berufserfahrung oder mehrjährige Berufserfahrung im Vertrieb oder Produktmanagement von Logistikdienstleistungen mit Fokus auf Rail und Intermodal (Bulklogistik) [*] Kenntnisse der Strukturen und Prozesse im Vertrieb des Ressorts Transport & Logistics, insbesondere im Geschäftsfeld Rail Freight [*] Kenntnisse der Chemieindustrie und der Transport- und Logistikanforderungen von Chemiekonzernen wünschenswert [*] Erste Erfahrungen im Projektmanagement, ausgeprägtes konzeptionelles und analytisches Denkvermögen [*] Verbindliches Auftreten, Eigeninitiative, wirtschaftliches Denken und Handeln sowie kunden- und ergebnisorientierte Arbeitsweise [*] Bereitschaft zur Reisetätigkeit, bei Bedarf auch ins Ausland [*] Verhandlungssichere Englischkenntnisse in Wort und Schrift, wenn möglich Kenntnisse einer weiteren Fremdsprache [*] Beherrschen der gängigen Softwareprodukte ___ GmbH Personalabteilung ___ ___ ___ http:__www.___.de	Konzeption
		Vertriebseinheiten
		Positionierung
		Logistikleistungen
		Chemiekonzernen
		Chemieindustrie
		Kenntnisse
		Freight
		Budgetprozess
		Berufserfahrung
		Fokus
		Hochschulstudium
		Denken
		Reisetätigkeit
		Rail
		Kenntnisse
		Realisierung
		Auftreten
		Denkvermögen
		Markt
		Logistikpartner
		Logistics
		Geschäftsfelder
		Kundenbedürfnissen
		Logistikdienstleistungen
		Mitarbeit
		Fachrichtung
		insbesondere
		Marktauftritts
		Umsetzung
		Produktmanagement
		Multimodaler
		Strukturen
		Wettbewerbs
		Intermodal
		Mitarbeit
		Erfahrungen
		Ausland
		Berufserfahrung
		Beherrschen
		konzeptionelles
		Bereitschaft
		Kenntnisse
		Erstellung
		Englischkenntnisse
		Logistikleistungen
		Vertriebseinheiten
		Fremdsprache
		Analyse
		Identifikation
		Personalabteilung
		Beobachtung
		Umsetzung
		Softwareprodukte
		Abgeschlossenes
		kunden-
		Vermarktung
		Erfolgskontrolle
		Projektmanagement
		Chemieindustrie¿
		Transport-
		Prozesse
		Markttrends
		Logistikanforderungen
		Branchenanalysen
		Bulklogistik
		Vertrieb
		Transport
		Durchführung
		Implementierung
		Schrift
		Betriebswirtschaft
		Mitarbeit
		Marktstudien
		Kommunikationsmaßnahmen
		Qualifikationen_Anforderungen
		Marktauftritts
		GmbH
		Identifizieren
		Eigeninitiative
		Arbeitsweise
		Planung
		Ressorts
		Unterstützung
		Unterstützung
		Chemieindustrie
		Sales-Potenzialen
		Events
		Konzeption
		Handeln
		Geschäftsfeld
		Bedarf
		Rail
		
4684fd3d-fc8b-4281-9273-005babde1ab8	Staplerschein, Kranerfahrung sowie Erfahrung mit Stahl sind wünschenswert.	Erfahrung
		Kranerfahrung
		Staplerschein
		Stahl
		
e2840b4e-8fa5-4a36-977d-75b3da6fb82b	Ihr Profil: abgeschlossene Ausbildung Bereitschaft zu Schichtarbeit und Montage ZUVERLÄSSIGKEIT selbständiges Arbeiten Führerschein gute Deutschkenntnisse wünschenswert wäre zudem Berufserfahrung und eine aktuelle Schweißerprüfung DIN EN287	Schweißerprüfung
		ZUVERLÄSSIGKEIT
		Ausbildung
		Bereitschaft
		Montage
		Deutschkenntnisse
		Arbeiten
		Berufserfahrung
		Schichtarbeit
		DIN
		
503c9b7c-c0f0-4dd1-8edd-38f84b22ec58	Voraussetzungen: [*] abgeschlossene Berufsausbildung als Koch_Köchin [*] Zuverlässigkeit [*] selbständige Arbeitsweise [*] Flexibilität	Berufsausbildung
		Arbeitsweise
		Zuverlässigkeit
		Flexibilität
		
edfa516b-c5ce-4a8f-8824-7726b3921c88	Erforderlich ist eine abgeschlossene Berufsausbildung als staatl. anerkannte Erzieher_in, kirchlich anerkannnte_r Heimerzieher_in, Heilpädagoge_Heilpädagogin oder Heilerzieher_in.	kirchlich
		Heimerzieher_in
		Heilpädagoge_Heilpädagogin
		Erzieher_in
		Berufsausbildung
		Heilerzieher_in
		Erforderlich
		
a0bbbf85-2e44-4f9f-928f-4463674bcfb2	Anforderungen: [*] eine abgeschlossene Berufsausbildung zum Kfz-Mechatroniker_in setzen wir voraus [*] gerne auch Berufsanfänger [*] FS-Kl. B ist erforderlich	Berufsausbildung
		Berufsanfänger
		Kfz-Mechatroniker_in
		FS-Kl
		
ceec7ac4-3b2c-4daf-823f-fd8c3aba37f3	Falls Sie eine abgeschlossene Berufsausbildung als Fleischereifachverkäufer(in) oder einschlägige Berufserfahrung mitbringen und Kenntnisse im Bereich Feinkost-, Imbiss-, Käsetheke haben, freuen wir uns auf Ihre Bewerbung.	Kenntnisse
		Berufserfahrung
		Bewerbung
		Feinkost-
		Käsetheke
		Berufsausbildung
		Imbiss-
		
4aafbb3e-6983-471f-b9df-2cc40d0d4816	Der Führerschein B (alt Kl. 3) ist erforderlich.	Führerschein
		
8ab95017-f9c2-4db0-923a-0178ede7a2b2	Eine abgeschlossene Berufsausbildung zur_m Medizinischen Fachangestellten wird vorausgesetzt. Röntgenschein ist zwingend erforderlich. Erfahrung in einer orthopädischen, chirurgischen oder allgemeinärztlichen Praxis sollte vorhanden sein. Gute EDV-Kenntnisse werden erwartet.	Röntgenschein
		EDV-Kenntnisse
		Fachangestellten
		Erfahrung
		Praxis
		Berufsausbildung
		
7f342858-5dd9-4147-808d-66db4eda10d4	Ihr Profil: [*] Sie haben eine abgeschlossene Ausbildung im Gewerk Lüftung_Heizung [*] Sie verfügen über einschlägige Berufserfahrung im Servicebereich, gerne auch gewerkeübergreifend [*] Sie sind service- und kundenorientiert und haben eine gute Kommunikations - und Teamfähigkeit. [*] Sie sind im Besitz des Führerscheins der Kl. 3 bzw. B [*] gute Kenntnisse in MS-Office Programmen wie Excel, Word und Powerpoint	Programmen
		Berufserfahrung
		Servicebereich
		Besitz
		Kenntnisse
		Führerscheins
		Lüftung_Heizung
		Kommunikations
		Teamfähigkeit
		Ausbildung
		kundenorientiert
		Word
		Excel
		Powerpoint
		
4b889926-531e-440c-83bf-970be18d12d7	Wir benötigend dringend Schweißer, die sich vor allem mit WIG-Schweißen auskennen.	Schweißer
		WIG-Schweißen
		allem
		
